# FII/DII daily, March-August 2026, transcribed from Sensibull's FII History
# table (web.sensibull.com/fii-dii-data/history). The API only serves a rolling
# ~23-day window; these months are reachable in the UI but not through any
# endpoint shape that could be found, so they are seeded from the rendered
# table instead.
#
# date|call_oi_chg|put_oi_chg|fut_amt_cr|fut_oi_chg|fut_oi|fii_cash_cr|dii_cash_cr
# "L" suffix = lakh (x100000), as the table prints it.
2026-04-22|-77238|45615|-1520|-9366|-1.83L|-2078|-1048
2026-04-21|48697|3486|2565|15813|-1.74L|-1919|2221
2026-04-20|-39313|-25100|159|1192|-1.9L|-1060|2967
2026-04-17|74969|-49096|1278|8036|-1.91L|683|-4721
2026-04-16|-50607|45395|266|1729|-1.99L|382|-3428
2026-04-15|-14065|-15575|1243|7636|-2.01L|666|-569
2026-04-13|27604|7960|-346|-2127|-2.08L|-1983|2432
2026-04-10|46554|1548|3438|21491|-2.06L|672|410
2026-04-09|-30345|43221|-84|-318|-2.28L|-1711|956
2026-04-08|11937|-32317|5073|32035|-2.27L|-2812|4168
2026-04-07|25909|2881|1348|9027|-2.59L|-8692|7980
2026-04-06|16904|-6458|-45|-442|-2.68L|-8167|8089
2026-04-02|4833|-31928|-465|-3199|-2.68L|-9931|7208
2026-04-01|-21953|-7258|-78|-775|-2.65L|-8331|7172
2026-03-30|-21891|-44907|-6001|15421|-2.64L|-11163|14895
2026-03-27|10936|6400|-6330|-41341|-2.79L|-4367|3566
2026-03-25|42309|-18992|1602|10586|-2.38L|-1805|5430
2026-03-24|-8916|-18199|-772|-4751|-2.49L|-8010|5867
2026-03-23|-6655|-426|-1420|-9453|-2.44L|-10414|12034
2026-03-20|-24716|25655|-824|-5556|-2.35L|-5518|5706
2026-03-19|-48293|39693|-471|-3155|-2.29L|-7558|3864
2026-03-18|-10563|-14396|2358|14978|-2.26L|-2714|3253
2026-03-17|80032|-37356|1247|7994|-2.41L|-4741|5225
2026-03-16|15876|-29424|1784|11771|-2.49L|-9366|12593
2026-03-13|-46136|43275|-5200|-34213|-2.61L|-10717|9977
2026-03-12|-29453|-40488|-3108|-20026|-2.26L|-7050|7450
2026-03-11|-56084|36350|-3034|-19231|-2.06L|-6267|4966
2026-03-10|28943|20938|1107|6832|-1.87L|-4673|6333
2026-03-09|16619|-57566|-3073|-19611|-1.94L|-6346|9014
2026-03-06|-51689|88341|-2066|-12443|-1.74L|-6030|6972
2026-03-05|-43574|21445|300|1865|-1.62L|-3753|5153
2026-03-04|-19844|-21907|-3203|-19240|-1.64L|-8753|12068
2026-03-02|25819|-18014|-3315|-20105|-1.44L|-3296|8594
